"Unit - Thousand Barrels per day (kb/d)"
"Product - Crude oil"
"BALANCE - Production"

Time,"Aug2019","Sep2019","Oct2019","Nov2019","Dec2019","Jan2020","Feb2020","Mar2020","Apr2020","May2020","Jun2020","Jul2020","Aug2020","Sep2020","Oct2020"
"Country",
"Albania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Algeria",0,1024,1023,1026,1021,1011,1009,1033,1004,812,807,809,859,861,860
"Angola",1328,1369,1391,1273,1369,1414,1387,1404,1352,1222,1230,1275,1266,1216,1194
"Argentina",599.0323,513.7333,510.8065,514.7667,498.1613,517.2903,512.8621000000001,421.5484,458,507.9677,584.6667,599.0323,0,0,0
"Armenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Australia",357.1142,349.8312,388.1455,368.2295,366.271,323.5394,297.9986,356.3511,358.5047,308.2781,326.439,311.5847,336.5115,316.1885,329.3895
"Austria",12.7228,12.6774,12.4956,12.6774,12.0413,12.0413,12.1431,2.4991,11.034,11.5869,11.7383,11.8141,11.1325,11.2688,0
"Azerbaijan",678.7532,673.8637,636.1974,673.8637,671.621,669.4813,658.4714,675.1871,684.1817,573.1958,564.2963,562.7352,585.7961,596.233,578.9016
"Bahrain",201.1297,204.6403,205.8845,205.8687,198.5145,144.3094,201.0231,207.311,213.9757,208.0242,210.045,207.7865,210.4016,168.773,0
"Bangladesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barbados",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belarus",33.4625,34.0874,34.4118,34.3327,33.6998,33.2252,34.2481,35.3611,33.1065,33.9371,34.8231,34.4118,34.4118,34.8231,0
"Belgium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belize",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bermuda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bolivia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil",2993.8065,2931.5333,2967.7419,3095.0667,3110.9677,3172.2258,2975.7931,2977.7097,2963.4333,2767.871,3017.9,3082.4516,3091.6452,2912.1333,2879.1935
"Brunei Darussalam",107.8319,105.3496,119.7607,118.1725,119.3424,109.9982,105.7639,101.8778,109.4391,109.5131,105.2845,80.12909999999999,105.35,89.29210000000001,86.4117
"Bulgaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Canada",3672.9174,3815.6913,3679.8658,3799.4167,3972.1613,3805.8632,3840.3097,3810.9587,3237.7013,3075.5877,2901.6773,3348.6594,3411.6581,3405.2347,3351.6703
